station,batch_id,cycle_time,capacity,wip,downtime_hours,units_in,units_out,rework_units,scrap_units
Station 1 - Feed,B118,24.0,150,12,0.2,50,50,0,0
Station 2 - Stamping,B118,25.7,140,19,0.35,50,50,0,0
Station 3 - Thermal Curing,B118,36.0,100,86,0.85,50,50,0,0
Station 4 - Coating,B118,27.7,130,15,0.25,50,50,0,0
Station 5 - Final Quality,B118,22.5,160,24,0.15,50,50,0,0
Station 1 - Feed,B119,24.0,150,25,0.2,50,50,0,0
Station 2 - Stamping,B119,25.7,140,23,0.35,50,50,0,0
Station 3 - Thermal Curing,B119,36.0,100,88,0.85,52,52,2,0
Station 4 - Coating,B119,27.7,130,14,0.25,50,50,0,0
Station 5 - Final Quality,B119,22.5,160,24,0.15,50,50,0,0
Station 1 - Feed,B120,24.0,150,15,0.2,50,50,0,0
Station 2 - Stamping,B120,25.7,140,26,0.35,50,50,0,0
Station 3 - Thermal Curing,B120,36.0,100,70,0.85,50,50,0,0
Station 4 - Coating,B120,27.7,130,22,0.25,50,50,0,0
Station 5 - Final Quality,B120,22.5,160,18,0.15,50,50,0,0
